Pressure,Temperature,x_He
300.0,2250.000000000001,0.05
350.0,2455.859086594241,0.05
400.0,2455.859086594241,0.05
450.0,2455.859086594241,0.05
500.0,2484.8484848484845,0.05
550.0,2484.848484848485,0.05
600.0,2484.848484848485,0.05
650.0,2484.848484848485,0.05
700.0,2484.848484848485,0.05
750.0,2509.259259259259,0.05
800.0,2554.627774066652,0.05
850.0,2554.627774066652,0.05
900.0,2554.627774066652,0.05
950.0,2554.627774066652,0.05
1000.0,2554.627774066652,0.05
150.0,3304.347826086956,0.089
200.0,3569.4835048247755,0.089
250.0,3807.142857142857,0.089
300.0,4041.666666666667,0.089
350.0,4270.833333333333,0.089
400.0,4497.573578529608,0.089
450.0,4498.663994655979,0.089
500.0,4498.663994655979,0.089
550.0,4498.663994655979,0.089
600.0,4498.663994655979,0.089
650.0,4498.663994655979,0.089
700.0,4498.663994655979,0.089
750.0,4533.333333333333,0.089
800.0,4566.116546819128,0.089
850.0,4566.199064796259,0.089
900.0,4566.199064796259,0.089
950.0,4566.199064796259,0.089
1000.0,4566.199064796259,0.089
250.0,5322.815533980583,0.15
300.0,5538.834951456311,0.15
350.0,5754.178509364035,0.15
400.0,5934.382832160484,0.15
450.0,6035.714285714286,0.15
500.0,6125.0,0.15
550.0,6214.285714285714,0.15
600.0,6303.040955861303,0.15
650.0,6303.070426567421,0.15
700.0,6303.070426567421,0.15
750.0,6303.070426567421,0.15
800.0,6303.070426567421,0.15
850.0,6419.811320754717,0.15
900.0,6594.33962264151,0.15
950.0,6768.867924528302,0.15
1000.0,6833.333333333333,0.15
350.0,6240.291262135923,0.2
400.0,6455.983354487387,0.2
450.0,6618.932038834952,0.2
500.0,6781.553398058252,0.2
550.0,6944.174757281553,0.2
600.0,7092.280953404585,0.2
650.0,7163.979474099715,0.2
700.0,7163.979474099715,0.2
750.0,7163.979474099715,0.2
800.0,7163.979474099715,0.2
850.0,7291.666666666667,0.2
900.0,7431.818181818182,0.2
950.0,7576.923076923077,0.2
1000.0,7723.076923076924,0.2
400.0,6941.420247691271,0.25
450.0,7090.336134453782,0.25
500.0,7231.09243697479,0.25
550.0,7371.848739495798,0.25
600.0,7512.449020631476,0.25
650.0,7621.848739495798,0.25
700.0,7731.092436974789,0.25
750.0,7840.336134453782,0.25
800.0,7910.517408514304,0.25
850.0,8022.292993630574,0.25
900.0,8082.8025477707015,0.25
950.0,8143.312101910828,0.25
1000.0,8203.821656050955,0.25
